title;jobPost
Web developer;Job Title: Web Application Developer Description: Category Employment Company: Epsilon Net SA Post Date: 11-03-22 Employment Type: Full, EXTREMELY Labor Code: Work Category: Information Area: Municipality of Athens Web Application Developer Web Application Developer Web Application Developer Athens, Greece | Software Development Remote The Epsilon Net SA Group, one of the largest IT groups in Greece and awarded 7 national and 2 European awards as Best Workplace, is looking for a Web Application Developer on the design and implementation of business applications, for staffing of the Software Development Directorate. Necessary Qualifications: Degree in Higher or Higher School of Informatics, Computer Science or Relative Direction 2+ years of service in Development of Web Applications Excellent knowledge and experience in web technologies and Microsoft tools Planning, Microsoft SQL Server and Architectural Information Systems Experience in Web Services and Standards (JSON, XML, REST, SOAP) Experience in the use of Source Control tools (GIT, TFS) Very good knowledge of the English Language Cooperation Spirit, Analytical thinking, effective time management, problem solving and taking initiative desirable qualifications: Knowledge and/or experience in Web UI Frameworks and Libraries (JQuery, Telerik/Kendo UI, Bootstrap) or hourly time will be taken very seriously. Benefits: Fully Remote Ability
Web developer;Job Title: Web Application Developer Description: Category Employment Company: Epsilon Net SA Post Date: 14-01-22 Employment Type: Full, EXTREMELY Labor Code: Work Category: Information Area: Municipality of Athens Web Application Developer Web Application Developer Web Application Developer Athens, Greece | Software Development Remote The Epsilon Net SA Group, one of the largest IT groups in Greece and awarded 7 national and 2 European awards as Best Workplace, is looking for a Web Application Developer on the design and implementation of business applications, for staffing of the Software Development Directorate. Necessary Qualifications: Degree in Higher or Higher School of Informatics, Computer Science or Relative Direction 2+ years of service in Development of Web Applications Excellent knowledge and experience in web technologies and Microsoft tools Planning, Microsoft SQL Server and Architectural Information Systems Experience in Web Services and Standards (JSON, XML, REST, SOAP) Experience in the use of Source Control tools (GIT, TFS) Very good knowledge of the English Language Cooperation Spirit, Analytical thinking, effective time management, problem solving and taking initiative desirable qualifications: Knowledge and/or experience in Web UI Frameworks and Libraries (JQuery, Telerik/Kendo UI, Bootstrap) or hourly time will be taken very seriously. Benefits: Fully Remote Ability
Web developer;Job Title: Web Application Developer Description: Category Employment Company: Epsilon Net SA Post Date: 28-09-21 Employment Type: Complete, Exxing Labor Code: Work Category: Information Area: Attica Prefecture Web Application Developer Web Application Developer Group Epsilon Net SA , one of the largest IT groups in Greece and awarded 7 national and 2 European awards as Best Workplace, is looking for the staffing of the Web Application Developer Software Development Directorate for the design and implementation of business applications. Necessary Qualifications: Degree in Higher or Higher School of Informatics, Computer Science or Relative Direction 2+ years of service in Development of Web Applications Excellent Knowledge and experience in web technologies and Microsoft tools (Asp.net, C#, Ajax, Javascript/Typescript) Planning, Microsoft SQL Server and Architectural Information Systems Experience in Web Services and Standards (JSON, XML, REST, SOAP) Experience in the use of Source Control tools (GIT, TFS) Very good knowledge of the English Language Cooperation Spirit, Analytical thinking, effective time management, problem solving and taking initiative desirable qualifications: Knowledge and/or experience in Web UI Frameworks and Libraries (JQuery, Telerik/Kendo UI, Bootstrap) or hourly time will be taken very seriously: Fully remote capability Work Environment Competitive earnings package Private insurance continuous training Significant evolution prospects free participation in Epsilon Training and Epsilon College Educational Programs
Web developer;Job Title: Web Application Developer Description: Category Employment Company: Epsilon Net SA Publication Date: 30-12-21 Employment Type: Full, EXTREMELY Distance Code: , one of the largest IT groups in Greece and awarded 7 national and 2 European awards as a Best Workplace, is looking for the staffing of the Web Application Developer Software Development Directorate to design and implement business applications. Necessary qualifications: a degree in the Higher or Higher School of Information, Computer Science or Relative Direction 2+ years in Development of Web Applications. Excellent knowledge and experience in web technologies and Microsoft tools (ASP.NET, C#, AJAX, JAVAScript/Typescript) Very good knowledge of programming principles , rest, soap) Experience in using Source Control tools (GIT, TFS) Very good knowledge of English language of cooperation and teamwork, analytical thinking, effective time management, problem solving and taking initiative UI Frameworks and Libraries (JQuery, Telerik/Kendo UI, Bootstrap) Knowledge and/or Experience in Development of Human Resources Management Applications Insurance Continuous Training Significant Evolution Perspectives Free Participation in Educational Ancestry Epsilon Training and Epsilon College stitches
Web developer;Job Title: Web Application Developer Description: Epsilon Net SA, one of the largest IT groups in Greece and awarded 7 national and 2 European awards as a Best Workplace, is looking for a web application developer for the design and implementation of business applications. Necessary qualifications: a degree in the Higher or Higher School of Information, Computer Science or Relative Direction 2+ years in Development of Web Applications. Excellent knowledge and experience in web technologies and Microsoft tools (ASP.NET, C#, AJAX, JAVAScript/Typescript) Very good knowledge of programming principles , rest, soap) Experience in using Source Control tools (GIT, TFS) Very good knowledge of English language of cooperation and teamwork, analytical thinking, effective time management, problem solving and taking initiative UI Frameworks and Libraries (JQuery, Telerik/Kendo UI, Bootstrap) Knowledge and/or Experience in Development of Human Resources Management Applications Insurance Continuous Training Significant Evolution Perspectives Free Participation in Educational Ancestry Epsilon Training and Epsilon College stitches 
Web developer;Job Title: Web Application Developer Description: Epsilon Net SA, one of the largest IT groups in Greece and awarded 7 national and 2 European awards as a Best Workplace, is looking for a web application developer for the design and implementation of business applications. Necessary Qualifications: Degree in Higher or Higher School of Informatics, Computer Science or Relative Direction 2+ years of service in? Develop web applications Excellent knowledge and experience in web technologies and Microsoft tools (Asp.net, C#, Ajax, Javascript/Typescript) Programming, Microsoft SQL Server and Architectural Information Systems Experience in Web Services and Standards (JSON, XML, REST, SOAP) , Analytical Thinking, Effective Time Management, Problem Resolution Ability , payroll or hourly payroll will be taken very seriously: Fully remote capability The Work Environment Competitive earnings package Private Insurance Continuous Training Significant evolution prospects free participation in Epsilon Training and Epsilon College Educational Programs 
Web developer;Job Title: Web Application Developer (Fully Remote) Description: Epsilon Net SA, one of the largest IT groups in Greece and awarded 7 national and 2 European awards as Best Workplace, is looking for a software development management, web application developer designing and implementing business applications . Necessary qualifications: a degree in the Higher or Higher School of Information, Computer Science or Relative Direction 2+ years in Development of Web Applications. Excellent knowledge and experience in web technologies and Microsoft tools (ASP.NET, C#, AJAX, JAVAScript/Typescript) Very good knowledge of programming principles , rest, soap) Experience in using Source Control tools (GIT, TFS) Very good knowledge of English language of cooperation and teamwork, analytical thinking, effective time management, problem solving and taking initiative UI Frameworks and Libraries (JQuery, Telerik/Kendo UI, Bootstrap) Knowledge and/or Experience in Development of Human Resources Management Applications, Payroll or Time will be taken very seriously. Benefits: Fully Remote Ability
Web developer;Job Title: Web Application Developer (Fully Remote) Description: EPSILON NET SA, one of the largest IT groups in Greece and awarded 7 national and 2 European awards as Best Workplace, is looking for a software development management, Web Application Developer designing and implementing business applications Excerptable qualifications: a degree in IT, Computer Science or Direction 2+ years of service in developing web applications. Excellent knowledge and experience in web technologies and Microsoft tools (ASP.NET, C#, AJAX, JAVAScript/Typescript) Very good knowledge of programming principles , rest, soap) Experience in using Source Control tools (GIT, TFS) Very good knowledge of English language of cooperation and teamwork, analytical thinking, effective time management, problem solving and taking initiative UI Frameworks and Libraries (JQuery, Telerik/Kendo UI, Bootstrap) Knowledge and/or Experience in Development of Human Resources Management Applications, Payroll or Time will be taken very seriously. Benefits: Fully Remote Ability
Web developer;Job Title: Web Application Developer Description: EPSILON NET SA, one of the largest IT groups in Greece and awarded with? Business Applications. Necessary Qualifications: Degree in Higher or Higher School of Informatics, Computer Science or Relative Direction 2+ years of service in Development of Web Applications Excellent Knowledge and experience in web technologies and Microsoft tools (Asp.net, C#, Ajax, Javascript/Typescript) Planning, Microsoft SQL Server and Architectural Information Systems Experience in Web Services and Standards (JSON, XML, REST, SOAP) Experience in the use of Source Control tools (GIT, TFS) Very good knowledge of the English Language Cooperation Spirit, Analytical thinking, effective time management, problem solving and taking initiative desirable qualifications: Knowledge and/or experience in Web UI Frameworks and Libraries (JQuery, Telerik/Kendo UI, Bootstrap) or hourly time will be taken very seriously: Fully remote capability Work environment Competitive earnings package Private insurance continuous training Significant evolution prospects Free participation in Epsilon Training and Epsilon College Educational Programs 
Web developer;Job Title: Web Application Developer Description: EPSILON NET SA, one of the largest IT groups in Greece and awarded with? Business Applications. Necessary Qualifications: Degree in Higher or Higher School of Informatics, Computer Science or Relative Direction 2+ years of service in Development of Web Applications Excellent Knowledge and experience in web technologies and Microsoft tools (Asp.net, C#, Ajax, Javascript/Typescript) Planning, Microsoft SQL Server and Architectural Information Systems Experience in Web Services and Standards (JSON, XML, REST, SOAP) Experience in the use of Source Control tools (GIT, TFS) Very good knowledge of the English Language Cooperation Spirit, Analytical thinking, effective time management, problem solving and taking initiative desirable qualifications: Knowledge and/or experience in Web UI Frameworks and Libraries (JQuery, Telerik/Kendo UI, Bootstrap) or hourly time will be taken very seriously: Fully remote capability Work environment Competitive earnings package Private insurance continuous training Significant evolution prospects Free participation in Epsilon Training and Epsilon College Educational Programs 
