title;jobPost;;;;
Web developer;Job Title: Web Designer/ Front End Developer Description: Informatics Object Project Development, Management, Maintenance and Refreshment of Websites Creation, Management and Shipment of Email Marketing Campaigns Management and support of an online platform in the context of research project Management and information on social media Forming and processing print and electronic material to disclose and promote results (posters, newsletters, banners) Management and refreshment of List of Contacts Development, Maintenance, Control and Resolution of Computing Infrastructure and Networks Job Requirements REQUIRED QUALITIONS - CRITERIA Bachelor of Informatics or Information and Communication Technologies (ICT), HEI or other equivalent title of foreign work experience at least 36 months in a similar position Very good knowledge and experience in design, development and management Proven HTML5 knowledge, CSS3 proven knowledge of suite adobe (Photoshop, Illustrator, Indesign) at least good knowledge of English (B2). CONSECTIVE ADDRESS - CRITERIA Postgraduate Degree in Informatics or Informatics and Communication Technologies Knowledge of Installation, Maintenance and Technical Support Systems and Networks, such as Datacenters, Storage Management Systems, NAS Servers, LAN & WIFI Network Systems & Windows Server Additional Research Experience on Topics related to Project Object Database Knowledge PHP, JavaScript;;;;
Web developer;"Job Title: Junior & Senior Javaee & Single Page Application Developers Description: Knowledge Broadband Services SA in the context of its strategic partnership with unisystems Sa for the creation of a remote development center in patras, is intestin in hiring graduates of it schools as Junior & Senior Software DeVelopers in Pat. You Will: Contribute in All Phases of the Development Life Cycle Write Well Designed, Testable, Efficient Code Ensure Design Is Following the Specifications Prepare and Produce Releases of Software Components You Have: BSC in Compuer Science, Engine or 1 For Junior Positions) or 3 Years (For Senior Positions) of Experience in Java Development Experience Working in At Least One of the Following Application Servers: Tomcat, JBoss, Weblogic Front-Endevelopment Experience: , reactjs, vuejs experience with mpa technologies such as jsps, spring mvc fundamental knowledge of spring, rest and soap excellent knowledge of html, css and js knowledge of sql / nosql database technology (either oracle or sql server or mysql or postgresql or mongodb) to Be Familiar with version control systems (E.G. SVN/GIT), Project/Task Management Systems (E.G. Jira), Build Servers and Continuous Integration (E.G. Jenkins), AR Tifats Repository Systems (E.G.NEXUS, JFROG), Maven and Ant to Be Fluent in English, Both Oral and Written to Be Customer, Solution and Improvement Minded to Be Pro-Resctive and Can-Do Attitude Availability to Work Onsite Junior Developers We Offer: Continuous Learning/Training in New Technologies and Products A Great Environment to Work in, Excel and Progressionally Competitive Full-Time Salary to Apply for This Opportuneity, Please Sent an Email to Jobs@known. Javaee-Spa (Junior | Senior) Software Developers "", Attaching: Your Resume, Cover Letter Describing Your Experience with Any of the Above Subjects (Academic, Work or Personal Time). Applicants Must Plan to Stay in Patras for At Least 2 Years. Job Requirements BSC in Computer Science, Engineering or A Related Field at Least 1 (For Junior Positions) or 3 Years (For Senior Positions) of Experience in Java Development Experience Working in At Least One of the Following Application Servers: Tomcat, End Development Experience in At Least One of the Following: Angular, React, JSPS, Spring MVC Fundamental Knowledge of Spring, Rest and Soap Knowledge of HTML, CSS and JS Knowledge of SQL / Nosql Database Technology Postgresql or Mongodb) Be Familiar with version control systems (E.G. SVN/GIT), Project/Task Management Systems (E.G. Jira), Build Servers and Continuous Integration (E.G. Jenkins), Artifacts Repository (E.G.N. Fluent in English, Both Oral and Written Customer, Solution and Improvement Minded Pro-Active and Can-Do Attitude Availability to Work Ontsite's Client's Premises Mentoring Junior Developers";;;;
Web developer;Job Title: Application Developer / Developer Description: Software Solution P.C. Based in Chalandri he wishes to hire full -time Developer Developer / Developer that will be staffed by the Department of Development. Job Requirements Necessary Qualifications: - Windows Development in Microsoft Visual Studio (C#) - Web Development (PHP, HTML, CSS, JS) - Microsoft SQL Server (queries, views, triggers, Stored Procedures etc.) Qualifications: - ASP.NET - MVC - MYSQL - E -Commerce (WooCommerce, OpenCart, Prestashop, Magento etc.) - Mobile Development (Xamarin, Android Studio) - Communication and cooperation ability - English language knowledge - surrender to a corresponding position;;;;
Web developer;Job Title: .net Application Developer - Athens Description: Panasoft is based in Athens and offers specialized IT solutions for the tourism industry. The company has been a market leader in its field for 30 years and is calling for immediate recruitment of developer / programmer. .NET Application Developer Requirements: AEI or TEI degree in IT. Excellent knowledge of applications development in .net (C#). Very good knowledge of XAML technology (wpf .net). Very good database knowledge (SQL). fulfilled military obligations for male candidates. Minimum 2 years of service. Desired Qualifications: Experience in Development of Web Applications and Web Services. Experience in using Reporting Tools. Knowledge of MVC asp.net and JQuery Frameworks. Knowledge of Rest Architecture. Knowledge LinQ, T-SQL, Entity Framework (or other orm tools). Knowledge of Blazor .net 5.0 Excellent knowledge of English. Panasoft provides: fixed monthly salary and insurance. Continuous high -level training in new technologies and methods. indefinite -term contract with a 5 -day and 8 -hour work. Working in a dynamic environment with prospects of evolution. 63-71, el. Venizelou Str. 142 31, n. Ionia, Athens Tel.: 30 211 1029300 http://www.panasoft.gr;;;;
Web developer;"Job Title: Web Application Developer Description: Speedex is a look for a ""Web Application Developer 'for its growing team in Athens. As a Web Developer you will be contribute to the analysis and documentation of business requirements as well as the design, development, and delibery of web Software Applications for Speedex Ecosystem, Compring of B2B, B2C and Internal Applications. What you'll be doing: obtain, understand and analyze User Requirements. Troubleshoot Code and Performance Issues. Design, Develop and Deliver Web and Software Applications. Update Existing Applications to Meet the Functionality Standards as OutLined by the Corporate Requirements. Solve Unique Problems that Arise from the Need to Always Push The Envelope in Web Development. Be Technically Responsible for the Projects You Undertake and Choose the Best Method or Technology to make them successful.what do we expend from you: you have good business analysis and problem-soving skills. You have Excellent Organizational and Troubleshooting Skills with Attention to Detail. You have strong Communication and Interpersonal Skills with the ABILITY TO WORK EFFECTIVELY IN A CROSS Functional Team. You are Proficient and Highly Productive with Javascript, Ajax, Jquery, CSS, HTML, C#, ASP.NET, .NET FRAMEWORK, .NET CORE, MVC, WEB SERVICES (SOAP/REST). You have strong opinions, Weakly Held. Having the Courage to Act on Your Knowledge But also the Humility to Doubt What You Know.qualifications Bachelor's Degree in Computer Science or Equivalent or Proven Track Record of Previous Projects of Significant Complexity At Least 3 Yeears of Experience. JQuery, CSS, HTML etc.) and Microsoft Technologies (C#, .NET, MS SQL etc.). Experience with Client -side Programming Either by Using A Client Framework or by Plain Vanilla Javascript as well as in the creation and consumption of soap and rest apis and web services. Familiarity with Web Content Management Concepts. Working Experience with Enterprise Applications (ERP, CRM, WMS, ETC.) Especielly in Microsoft Navision Will Be Considered a Plus.benefits: Full Time Employment Health Insurance Plan Dynamic Work Environment Carement Deville";;;;
Web developer;Job Title: Web Application Developer - Athens Description: Speedex is look for a web application developer for its grown team in Athens. As a Web Developer you will be contribute to the analysis and documentation of business requirements as well as the design, development, and delibery of web Software Applications for Speedex Ecosystem, Compring of B2B, B2C and Internal Applications. What you'll be doing: obtain, understand and analyze User Requirements. Troubleshoot Code and Performance Issues. Design, Develop and Deliver Web and Software Applications. Update Existing Applications to Meet the Functionality Standards as OutLined by the Corporate Requirements. Solve Unique Problems that Arise from the Need to Always Push The Envelope in Web Development. Be Technically Responsible for the Projects You Undertake and Choose the Best Method or Technology to Make Them Successful. What do we expend from you: you have good business analysis and problem-solving skills. You have Excellent Organizational and Troubleshooting Skills with Attention to Detail. You have strong Communication and Interpersonal Skills with the ABILITY TO WORK EFFECTIVELY IN A CROSS Functional Team. You are Proficient and Highly Productive with Javascript, Ajax, Jquery, CSS, HTML, C#, ASP.NET, .NET FRAMEWORK, .NET CORE, MVC, WEB SERVICES (SOAP/REST). You have strong opinions, Weakly Held. Having the Courage to act on your knowused but also the hauminess to double what you know. Qualifications: Bachelor's Degree in Computer Science or Equivalent or Proven Track Record of Previous Projects of Significant Complexity at Least 3 Years of Experience in Client-Side Program (Javascript, JQuery, CSS, HTML Etc.) ms sql etc.). Experience with Client -side Programming Either by Using A Client Framework or by Plain Vanilla Javascript as well as in the creation and consumption of soap and rest apis and web services. Familiarity with Web Content Management Concepts. Working Experience with Enterprise Applications (ERP, CRM, WMS, ETC.) ESPECIALLY IN MICROSOFT NAVISION WILL BE CONSIDERED A PLUS. Benefits: Full Time Employment Health Insurance Plan Dynamic Work Environment Career Development Opportunities ongoing Professional Development ;;;;
Web developer;Job Title: Web Application Developer - Athens Description: Speedex is look for a web application developer for its grown team in Athens. As a Web Developer you will be contribute to the analysis and documentation of business requirements as well as the design, development, and delibery of web Software Applications for Speedex Ecosystem, Compring of B2B, B2C and Internal Applications. What you'll be doing: obtain, understand and analyze User Requirements. Troubleshoot Code and Performance Issues. Design, Develop and Deliver Web and Software Applications. Update Existing Applications to Meet the Functionality Standards as OutLined by the Corporate Requirements. Solve Unique Problems that Arise from the Need to Always Push The Envelope in Web Development. Be Technically Responsible for the Projects You Undertake and Choose the Best Method or Technology to Make Them Successful. What do we expend from you: you have good business analysis and problem-solving skills. You have Excellent Organizational and Troubleshooting Skills with Attention to Detail. You have strong Communication and Interpersonal Skills with the ABILITY TO WORK EFFECTIVELY IN A CROSS Functional Team. You are Proficient and Highly Productive with Javascript, Ajax, Jquery, CSS, HTML, C#, ASP.NET, .NET FRAMEWORK, .NET CORE, MVC, WEB SERVICES (SOAP/REST). You have strong opinions, Weakly Held. Having the Courage to act on your knowused but also the hauminess to double what you know. Qualifications: Bachelor's Degree in Computer Science or Equivalent or Proven Track Record of Previous Projects of Significant Complexity at Least 3 Years of Experience in Client-Side Program (Javascript, JQuery, CSS, HTML Etc.) ms sql etc.). Experience with Client -side Programming Either by Using A Client Framework or by Plain Vanilla Javascript as well as in the creation and consumption of soap and rest apis and web services. Familiarity with Web Content Management Concepts. Working Experience with Enterprise Applications (ERP, CRM, WMS, ETC.) ESPECIALLY IN MICROSOFT NAVISION WILL BE CONSIDERED A PLUS. Benefits: Full Time Employment Health Insurance Plan Dynamic Work Environment Career Development Opportunities ongoing Professional Development ;;;;
Web developer;Job Title: Web Application Developer - Athens Description: Speedex is look for a web application developer for its grown team in Athens. As a Web Developer you will be contribute to the analysis and documentation of business requirements as well as the design, development, and delibery of web Software Applications for Speedex Ecosystem, Compring of B2B, B2C and Internal Applications. What you'll be doing: obtain, understand and analyze User Requirements. Troubleshoot Code and Performance Issues. Design, Develop and Deliver Web and Software Applications. Update Existing Applications to Meet the Functionality Standards as OutLined by the Corporate Requirements. Solve Unique Problems that Arise from the Need to Always Push The Envelope in Web Development. Be Technically Responsible for the Projects You Undertake and Choose the Best Method or Technology to Make Them Successful. What do we expend from you: you have good business analysis and problem-solving skills. You have Excellent Organizational and Troubleshooting Skills with Attention to Detail. You have strong Communication and Interpersonal Skills with the ABILITY TO WORK EFFECTIVELY IN A CROSS Functional Team. You are Proficient and Highly Productive with Javascript, Ajax, Jquery, CSS, HTML, C#, ASP.NET, .NET FRAMEWORK, .NET CORE, MVC, WEB SERVICES (SOAP/REST). You have strong opinions, Weakly Held. Having the Courage to act on your knowused but also the hauminess to double what you know. Qualifications: Bachelor's Degree in Computer Science or Equivalent or Proven Track Record of Previous Projects of Significant Complexity at Least 3 Years of Experience in Client-Side Program (Javascript, JQuery, CSS, HTML Etc.) ms sql etc.). Experience with Client -side Programming Either by Using A Client Framework or by Plain Vanilla Javascript as well as in the creation and consumption of soap and rest apis and web services. Familiarity with Web Content Management Concepts. Working Experience with Enterprise Applications (ERP, CRM, WMS, ETC.) ESPECIALLY IN MICROSOFT NAVISION WILL BE CONSIDERED A PLUS. Benefits: Full Time Employment Health Insurance Plan Dynamic Work Environment Career Development Opportunities onGoing Professional Development [To Send Your CV Please Click Here.];;;;
Web developer;Job Title: Web Application Developer Description: Web Application Developer Adecco HR is the Global Leader in HR Services and Certified With ISO 9001: 2015 in the Field of Search and Selection Services in Greece. Adecco is Currently Seeking, on Behalf of Its Client, a Leading Transportation Company, for a Dynamic Professional to cover the following position: Web Application Developer Obtain, Understand and Analyze User Requirements. Troubleshoot Code and Performance Issues. Design, Develop and Deliver Web and Software Applications. Update Existing Applications to Meet the Functionality Standards as OutLined by the Corporate Requirements. Solve Unique Problems that Arise from the Need to Always Push The Envelope in Web Development. Be Technically Responsible for the Projects You Undertake and Choose the Best Method or Technology to Make Them Successful. Candidate Profile Bachelor's Degree in Computer Science or Equivalent or Proven Track Record of Previous Projects of Significant Complexity 1- ms sql etc.). Experience with Client -side Programming Either by Using A Client Framework or by Plain Vanilla Javascript as well as in the creation and consumption of soap and rest apis and web services. Familiarity with Web Content Management Concepts. Working Experience with Enterprise Applications (ERP, CRM, WMS, ETC.) ESPECIALLY IN MICROSOFT NAVISION WILL BE CONSIDERED A PLUS. Good Business Analysis and Problem-Solving Skills. Organizational and Troubleshooting Skills with Attention to Detail. Strong Communication and Interpersonal Skills with the Able to Work Effectively in a Cross Functional Team. Proficient and Highly Productive with Javascript, Ajax, Jquery, CSS, HTML, C#, ASP.NET, .NET FRAMEWORK, .NET CORE, MVC, WEB SERVICES (SOAP/REST). Strong Opinions Weakly Held. Having the Courage to act on your knowused but also the hauminess to double what you know. Position Characteristics Competitive Remuneration Package Dynamic and Challenging Working Environment after the Screening of the CVS, WE Will Contact the Candidates Who Meet the Profile's Requirements to Arrange an Interview. All applications are considered as strictly confidential.;;;;
Web developer;Job Title: Web Application Developer Description: Web Application Developer Athens, Greece | Software Development Remote The Epsilon Net SA Group, one of the largest IT groups in Greece and awarded 7 national and 2 European awards as Best Workplace, is looking for a Web Application Developer on the design and implementation of business applications, for staffing of the Software Development Directorate. Necessary Qualifications: Degree in Higher or Higher School of Informatics, Computer Science or Relative Direction 2+ years of service in Development of Web Applications Excellent knowledge and experience in web technologies and Microsoft tools Planning, Microsoft SQL Server and Architectural Information Systems Experience in Web Services and Standards (JSON, XML, REST, SOAP) Experience in the use of Source Control tools (GIT, TFS) Very good knowledge of the English Language Cooperation Spirit, Analytical thinking, effective time management, problem solving and taking initiative desirable qualifications: Knowledge and/or experience in Web UI Frameworks and Libraries (JQuery, Telerik/Kendo UI, Bootstrap) or hourly time will be taken very seriously. Benefits: Fully remote Ability to Competitive earnings package Private insurance continuous training Significant evolution prospects Free participation in Epsilon Training and Epsilon College Education Programs ;;;;
